timesec,GESYerelEthenetFtpUploadResponseTimesec,GESYerelEthenetFtpTrafficSentbytes/sec,GESYerelEthenetEthernetDelaysec,INVERTERAKIM,INVERTERVOLTAJ,RUZGAR,METEOR,RADYANTISIMA,TurbinEthernetFtpUploadResponseTimesec,WCNV,WGEN,WMET,WNAC,WROT,WTOW,WTRF,WTRM,WYAW,TurbinEthernetEthernetDelaysec,TurbinZigBeeApplicationTrafficReceived,TurbinZigBeeApplicationEndtoendDelayseconds,GESYerelZigbee1EndtoendDelayseconds,GESYerelZigBeeApplicationTrafficReceivedbits/sec
210.0,0.007567958126,53080,0.001225316095,4.15836249209525,4.15836249209525,0.778151250383644,1,2.30102999566398,0.019935401026,4.176207055,4.146252102,3.903089987,4.041708421,4.079543007,3.302330929,3.903415586,4.07975992,3.778440684,0.000522908144,87173,111,139,29379
216.0,0.008034880098,53080,0.001223519408,4.15836249209525,4.15836249209525,0.778151250383644,1,2.30102999566398,0.019785488042,4.176207055,4.146252102,3.903089987,4.041708421,4.079543007,3.302330929,3.903415586,4.07975992,3.778440684,0.000522899409,86715,114,148,26319
222.0,0.018876060039,53080,0.001226698963,4.15836249209525,4.15836249209525,0.778151250383644,1,2.30102999566398,0.019643465276,4.176207055,4.146252102,3.903089987,4.041708421,4.079543007,3.302330929,3.903415586,4.07975992,3.778440684,0.000522891104,86791,117,16,28638
228.0,0.007851404468,53080,0.001224727927,4.15836249209525,4.15836249209525,0.778151250383644,1,2.30102999566398,0.019508725295,4.176207055,4.146252102,3.903089987,4.041708421,4.079543007,3.302330929,3.903415586,4.07975992,3.778440684,0.000522883292,87860,120,145,28542
234.0,0.008130053187,53080,0.001225098756,4.15836249209525,4.15836249209525,0.778151250383644,1,2.30102999566398,0.01938072289,4.176207055,4.146252102,3.903089987,4.041708421,4.079543007,3.302330929,3.903415586,4.07975992,3.778440684,0.000522875855,88891,123,146,25642
240.0,0.008071078249,53080,0.001225346475,4.15836249209525,4.15836249209525,0.778151250383644,1,2.30102999566398,0.019258921837,4.176207055,4.146252102,3.903089987,4.041708421,4.079543007,3.302330929,3.903415586,4.07975992,3.778440684,0.00052286697,89959,126,145,25481
246.0,0.007470632472,53080,0.001221790552,4.15836249209525,4.15836249209525,0.778151250383644,1,2.30102999566398,0.019142920935,4.176207055,4.146252102,3.903089987,4.041708421,4.079543007,3.302330929,3.903415586,4.07975992,3.778440684,0.000522858508,87173,130,143,26866
252.0,0.007636773639,53080,0.001218742449,4.15836249209525,4.15836249209525,0.778151250383644,1,2.30102999566398,0.019032315158,4.176207055,4.146252102,3.903089987,4.041708421,4.079543007,3.302330929,3.903415586,4.07975992,3.778440684,0.000522850443,88471,133,16,25320
258.0,0.008263629696,53080,0.001219424711,4.15836249209525,4.15836249209525,0.778151250383644,1,2.30102999566398,0.018926776438,4.176207055,4.146252102,3.903089987,4.041708421,4.079543007,3.302330929,3.903415586,4.07975992,3.778440684,0.000522844387,85990,137,160,22775
264.0,0.007569335888,53080,0.001217027973,4.15836249209525,4.15836249209525,0.778151250383644,1,2.30102999566398,0.018825928093,4.176207055,4.146252102,3.903089987,4.041708421,4.079543007,3.302330929,3.903415586,4.07975992,3.778440684,0.000522838624,84578,140,159,27253
270.0,0.007558646067,53080,0.001214740143,4.15836249209525,4.15836249209525,0.778151250383644,1,2.30102999566398,0.018729465008,4.176207055,4.146252102,3.903089987,4.041708421,4.079543007,3.302330929,3.903415586,4.07975992,3.778440684,0.000522833148,86524,143,167,24901
